mean,std
1.0,0.0
1.0,0.0
0.99996625,6.338128667044588e-05
0.99990125,0.00010795687796523134
0.99977125,0.00016588305368540654
0.9995612500000002,0.00024716833838499025
0.9992437499999999,0.0003017526926143396
0.9987450000000001,0.00038402473878644425
0.9980149999999999,0.0005244878454263732
0.9972187500000002,0.0005759163893309469
0.99597375,0.0007142073840979212
0.9947362500000001,0.0008227041919791133
0.9930275000000001,0.0009710786528391938
0.9909699999999999,0.0009917030805639366
0.9885612500000001,0.001107149351939476
0.985525,0.00134454918095248
0.9822625000000003,0.0013923339218736362
0.9784799999999998,0.001582691536592023
0.9732862499999999,0.0016555111559575797
0.9676912499999999,0.0017818928664484802
0.9616300000000001,0.0017620939248519077
0.9541525,0.002028822010428711
0.9463212500000003,0.00258192364091195
0.9361099999999999,0.0022726828859301945
0.925935,0.003218767232963576
0.9131899999999996,0.0030700407163423817
0.8999725,0.002980697275806452
0.88355875,0.003272157879366459
0.8668275,0.0033092096866170367
0.8469087500000001,0.0035193596274748665
0.82421375,0.0037829095531746472
0.7980000000000002,0.0035625657888662147
0.76921625,0.004152252965258742
0.7381187499999998,0.004135417716204736
0.7018812500000001,0.004215943510947463
0.6612775000000002,0.005065248636542927
0.61646,0.005135077896195929
0.5661575000000001,0.0046120975434177465
0.5106412499999999,0.005782426366803127
0.44743499999999997,0.00600123633095715
0.38012125,0.007505153541900395
0.30886625,0.008111301047766629
0.2334325,0.009939589717387736
0.16085125,0.012516535250919081
0.08608500000000001,0.018166546176970458
0.03358375,0.013095729921905842
0.011507499999999997,0.004935357763121129
0.00420125,0.001736096105490707
0.0014462499999999998,0.0004511287925858867
0.00012500000000000003,2.710505431213761e-20
