mean,std
1.0,0.0
0.974716125,0.00023802767039779116
0.945026875,0.0004401859514739205
0.9118665,0.0006753283460658262
0.8750305,0.0009078981908782519
0.8347770000000001,0.001201159231742399
0.7901439999999998,0.0015999535930769986
0.7398435000000001,0.001798620547808798
0.678902875,0.0025361935399087687
0.6164302500000001,0.0027397046943968247
0.5284586250000001,0.004400970665304982
0.42145849999999996,0.0054511861897205425
0.31296475,0.009246796975845205
0.11352975000000001,0.021918539867826506
0.0020557500000000003,0.0006581779299703083
0.00138675,0.00033371404300688336
0.0009358750000000001,0.00021383152684999467
0.0006381249999999999,0.00013330387044268444
0.0004313750000000001,8.039929648324045e-05
0.00025075000000000005,5.0615585544375555e-05
0.00013025000000000002,1.3483786560161798e-05
0.000125125,1.408622997824471e-05
0.00012025,1.2090802289343748e-05
0.00011525000000000001,1.5670433944214818e-05
0.00010949999999999999,1.3706750161872798e-05
0.00010249999999999998,1.3693063937629153e-05
9.425000000000001e-05,1.1377060252982755e-05
8.499999999999999e-05,9.842509842514767e-06
7.400000000000001e-05,1.1683321445547922e-05
5.3e-05,6.873863542433758e-06
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
1.25e-05,0.0
0.0,0.0
