mean,std
0.9973975,0.000494463092657081
0.996792139849432,0.0006395336912902901
0.9956684910086006,0.0008142287976405587
0.9945706297430434,0.0009153820438985944
0.9931700013610998,0.0008690555406257746
0.9913488307349665,0.0012186603278814228
0.9892038171200683,0.0011374787299872598
0.9868606007582384,0.0013444904009899607
0.9839527935464594,0.0016881687711217607
0.9801347419996936,0.0018146166798690534
0.9755935929648242,0.0022606717597336923
0.9695584206285255,0.0022179195744224498
0.962325773878497,0.002854044819551918
0.9538941816944537,0.0030241756971191185
0.9430918635170602,0.0036940576550441896
0.9301963256484151,0.004388857089886673
0.913656273199703,0.0050036775314442105
0.8915368421052632,0.006038820712757857
0.8636546819438958,0.006708770026574812
0.8248182931808903,0.009114172850420446
0.7846040126715945,0.011042337155625588
0.7335892388451444,0.014946728018036572
0.6647743252438194,0.017097908704466935
0.5791307420494699,0.025170325512881408
0.4621337579617834,0.03296091184903261
0.29303648890022965,0.06647239609368723
0.09684771033013843,0.051578525168503794
0.036461581291759464,0.019780393208273975
0.019445902595508897,0.008467314363281166
0.013677281077770971,0.005173720029939899
0.010499516596841769,0.0032340052643012873
0.008223885675399799,0.0025142074561192067
0.0065706051873198855,0.0015949062565956734
0.005549177190968235,0.001447706109405108
0.004703960800326664,0.0009993327607003498
0.004125109361329834,0.000907643696465152
0.003914272256241168,0.000877927518558112
0.0036275510204081627,0.0006529615676513085
0.003591314031180401,0.0007318173400943718
0.003331292100428659,0.0006556648531205964
0.0032789115646258502,0.0006551836260045991
0.0032746748278500385,0.0005198251798458463
0.003088363954505687,0.000516926377838056
0.0034183673469387744,0.000547132923202225
0.003512851897184824,0.0005909477456339442
0.0036391437308868502,0.0008589952235589078
0.00426530612244898,0.0006514648856943823
0.005993883792048931,0.000856269113149847
0.00798780487804878,0.002820080751182239
0.0,0.0
